file_flat0,raft_sensor,file_flat1
MC_C_20211207_000812_R34_S11.fits,R34_S11,MC_C_20211207_000813_R34_S11.fits
MC_C_20211207_000812_R02_S02.fits,R02_S02,MC_C_20211207_000813_R02_S02.fits
MC_C_20211207_000812_R14_S02.fits,R14_S02,MC_C_20211207_000813_R14_S02.fits
MC_C_20211207_000653_R42_S11.fits,R42_S11,MC_C_20211207_000654_R42_S11.fits
MC_C_20211207_000653_R23_S21.fits,R23_S21,MC_C_20211207_000654_R23_S21.fits
MC_C_20211207_000653_R11_S21.fits,R11_S21,MC_C_20211207_000654_R11_S21.fits
MC_C_20211207_000653_R22_S01.fits,R22_S01,MC_C_20211207_000654_R22_S01.fits
MC_C_20211207_000653_R30_S10.fits,R30_S10,MC_C_20211207_000654_R30_S10.fits
MC_C_20211207_000653_R12_S20.fits,R12_S20,MC_C_20211207_000654_R12_S20.fits
MC_C_20211207_000653_R34_S10.fits,R34_S10,MC_C_20211207_000654_R34_S10.fits
MC_C_20211207_000653_R32_S22.fits,R32_S22,MC_C_20211207_000654_R32_S22.fits
MC_C_20211207_000653_R42_S10.fits,R42_S10,MC_C_20211207_000654_R42_S10.fits
MC_C_20211207_000653_R14_S21.fits,R14_S21,MC_C_20211207_000654_R14_S21.fits
MC_C_20211207_000653_R14_S10.fits,R14_S10,MC_C_20211207_000654_R14_S10.fits
MC_C_20211207_000653_R01_S21.fits,R01_S21,MC_C_20211207_000654_R01_S21.fits
MC_C_20211207_000653_R32_S21.fits,R32_S21,MC_C_20211207_000654_R32_S21.fits
MC_C_20211207_000653_R41_S22.fits,R41_S22,MC_C_20211207_000654_R41_S22.fits
MC_C_20211207_000653_R03_S11.fits,R03_S11,MC_C_20211207_000654_R03_S11.fits
MC_C_20211207_000653_R02_S21.fits,R02_S21,MC_C_20211207_000654_R02_S21.fits
MC_C_20211207_000653_R13_S12.fits,R13_S12,MC_C_20211207_000654_R13_S12.fits
MC_C_20211207_000653_R20_S22.fits,R20_S22,MC_C_20211207_000654_R20_S22.fits
