file_flat0,raft_sensor,file_flat1
MC_C_20211207_000050_R13_S11.fits,R13_S11,MC_C_20211207_000051_R13_S11.fits
MC_C_20211207_000050_R22_S01.fits,R22_S01,MC_C_20211207_000051_R22_S01.fits
MC_C_20211207_000050_R21_S21.fits,R21_S21,MC_C_20211207_000051_R21_S21.fits
MC_C_20211207_000050_R40_SW1.fits,R40_SW1,MC_C_20211207_000051_R40_SW1.fits
MC_C_20211207_000050_R34_S10.fits,R34_S10,MC_C_20211207_000051_R34_S10.fits
MC_C_20211207_000050_R12_S10.fits,R12_S10,MC_C_20211207_000051_R12_S10.fits
MC_C_20211207_000050_R30_S10.fits,R30_S10,MC_C_20211207_000051_R30_S10.fits
MC_C_20211207_000050_R04_SW0.fits,R04_SW0,MC_C_20211207_000051_R04_SW0.fits
MC_C_20211207_000050_R02_S21.fits,R02_S21,MC_C_20211207_000051_R02_S21.fits
MC_C_20211207_000050_R03_S02.fits,R03_S02,MC_C_20211207_000051_R03_S02.fits
MC_C_20211207_000050_R30_S01.fits,R30_S01,MC_C_20211207_000051_R30_S01.fits
MC_C_20211207_000050_R23_S22.fits,R23_S22,MC_C_20211207_000051_R23_S22.fits
MC_C_20211207_000050_R43_S12.fits,R43_S12,MC_C_20211207_000051_R43_S12.fits
MC_C_20211207_000050_R22_S00.fits,R22_S00,MC_C_20211207_000051_R22_S00.fits
MC_C_20211207_000050_R21_S02.fits,R21_S02,MC_C_20211207_000051_R21_S02.fits
MC_C_20211207_000050_R01_S01.fits,R01_S01,MC_C_20211207_000051_R01_S01.fits
MC_C_20211207_000050_R22_S02.fits,R22_S02,MC_C_20211207_000051_R22_S02.fits
MC_C_20211207_000050_R21_S12.fits,R21_S12,MC_C_20211207_000051_R21_S12.fits
MC_C_20211207_000050_R02_S20.fits,R02_S20,MC_C_20211207_000051_R02_S20.fits
MC_C_20211207_000050_R10_S21.fits,R10_S21,MC_C_20211207_000051_R10_S21.fits
MC_C_20211207_000050_R24_S20.fits,R24_S20,MC_C_20211207_000051_R24_S20.fits
MC_C_20211207_000050_R12_S20.fits,R12_S20,MC_C_20211207_000051_R12_S20.fits
MC_C_20211207_000050_R01_S21.fits,R01_S21,MC_C_20211207_000051_R01_S21.fits
MC_C_20211207_000050_R31_S12.fits,R31_S12,MC_C_20211207_000051_R31_S12.fits
MC_C_20211207_000050_R10_S00.fits,R10_S00,MC_C_20211207_000051_R10_S00.fits
MC_C_20211207_000050_R11_S12.fits,R11_S12,MC_C_20211207_000051_R11_S12.fits
MC_C_20211207_000050_R00_SW1.fits,R00_SW1,MC_C_20211207_000051_R00_SW1.fits
MC_C_20211207_000050_R40_SG0.fits,R40_SG0,MC_C_20211207_000051_R40_SG0.fits
MC_C_20211207_000050_R30_S00.fits,R30_S00,MC_C_20211207_000051_R30_S00.fits
MC_C_20211207_000050_R33_S00.fits,R33_S00,MC_C_20211207_000051_R33_S00.fits
MC_C_20211207_000050_R01_S02.fits,R01_S02,MC_C_20211207_000051_R01_S02.fits
MC_C_20211207_000050_R14_S02.fits,R14_S02,MC_C_20211207_000051_R14_S02.fits
MC_C_20211207_000050_R31_S01.fits,R31_S01,MC_C_20211207_000051_R31_S01.fits
MC_C_20211207_000050_R33_S01.fits,R33_S01,MC_C_20211207_000051_R33_S01.fits
MC_C_20211207_000050_R43_S00.fits,R43_S00,MC_C_20211207_000051_R43_S00.fits
MC_C_20211207_000050_R01_S22.fits,R01_S22,MC_C_20211207_000051_R01_S22.fits
MC_C_20211207_000050_R01_S00.fits,R01_S00,MC_C_20211207_000051_R01_S00.fits
MC_C_20211207_000050_R23_S01.fits,R23_S01,MC_C_20211207_000051_R23_S01.fits
MC_C_20211207_000050_R34_S02.fits,R34_S02,MC_C_20211207_000051_R34_S02.fits
MC_C_20211207_000050_R12_S00.fits,R12_S00,MC_C_20211207_000051_R12_S00.fits
MC_C_20211207_000050_R31_S11.fits,R31_S11,MC_C_20211207_000051_R31_S11.fits
MC_C_20211207_000050_R32_S20.fits,R32_S20,MC_C_20211207_000051_R32_S20.fits
MC_C_20211207_000050_R03_S01.fits,R03_S01,MC_C_20211207_000051_R03_S01.fits
MC_C_20211207_000050_R43_S20.fits,R43_S20,MC_C_20211207_000051_R43_S20.fits
MC_C_20211207_000050_R33_S12.fits,R33_S12,MC_C_20211207_000051_R33_S12.fits
MC_C_20211207_000050_R41_S11.fits,R41_S11,MC_C_20211207_000051_R41_S11.fits
MC_C_20211207_000050_R02_S12.fits,R02_S12,MC_C_20211207_000051_R02_S12.fits
MC_C_20211207_000050_R14_S01.fits,R14_S01,MC_C_20211207_000051_R14_S01.fits
MC_C_20211207_000050_R42_S10.fits,R42_S10,MC_C_20211207_000051_R42_S10.fits
MC_C_20211207_000050_R32_S22.fits,R32_S22,MC_C_20211207_000051_R32_S22.fits
